Season,Rank,Team,Record,Rating,v 1-10,v 11-25,v 26-40,Hi,Lo,Last
2025-26,9,"Alabama",11-4,22.9,1-2,5-1,2-1,2,11,6
2025-26,10,"Mississippi",13-2,21.7,1-2,2-0,2-0,6,15,12
2025-26,11,"Texas A&M",11-2,21.4,1-1,2-1,3-0,9,25,10
2025-26,12,"Iowa",9-4,20.0,0-2,2-1,1-1,12,37,15
2025-26,13,"USC",9-4,19.9,0-2,2-1,1-1,6,21,11
2025-26,14,"Texas",10-3,19.6,0-2,4-0,0-1,1,17,16
2025-26,15,"Penn St",7-6,19.5,0-3,0-1,2-0,3,26,17
2025-26,16,"Vanderbilt",10-3,19.2,0-1,3-2,2-0,13,49,14
2025-26,17,"Oklahoma",10-3,19.1,1-2,4-1,2-0,11,21,13
2025-26,18,"Washington",9-4,17.9,0-2,1-1,0-0,18,40,20
2025-26,19,"BYU",12-2,17.4,1-2,0-0,4-0,16,43,18
2025-26,20,"Michigan",9-4,16.6,0-1,1-3,1-0,11,31,19
2025-26,21,"Tennessee",8-5,15.4,0-2,0-3,1-0,12,21,21
2025-26,22,"Missouri",8-5,14.7,0-1,0-3,2-1,17,32,22
2025-26,23,"SMU",9-4,13.9,1-0,0-0,3-1,20,48,25
2025-26,24,"Illinois",9-4,13.7,0-2,2-1,0-0,17,30,29
2025-26,25,"LSU",7-6,13.5,0-2,0-3,3-0,4,25,23
2025-26,26,"Florida St",5-7,13.3,1-1,0-0,0-4,6,44,28
2025-26,27,"Auburn",5-7,13.3,0-2,0-4,0-0,10,27,24
2025-26,28,"Clemson",7-6,12.9,0-0,0-3,3-1,6,35,27
2025-26,29,"Arizona",9-4,12.7,0-0,0-2,0-1,26,66,26
2025-26,30,"Louisville",9-4,12.0,1-0,0-1,2-2,19,41,31
2025-26,31,"Florida",4-8,11.7,0-3,1-3,1-1,10,35,32
2025-26,32,"S Florida",9-4,11.2,0-1,0-0,1-0,30,76,30
2025-26,33,"Pittsburgh",8-5,10.9,0-2,0-0,2-1,28,52,33
2025-26,34,"J Madison",12-2,10.8,0-1,0-0,0-1,33,70,35
2025-26,35,"South Carolina",4-8,10.5,0-2,0-5,0-1,17,42,34
2025-26,36,"TCU",9-4,10.3,0-0,2-1,0-1,20,46,38
2025-26,37,"Iowa St",8-4,10.3,0-0,1-1,2-0,28,42,36
2025-26,38,"Georgia Tech",9-4,10.1,0-1,0-1,1-1,29,41,40
2025-26,39,"Virginia",11-3,9.8,0-0,1-0,2-0,34,68,42
2025-26,40,"Nebraska",7-6,9.7,0-1,0-4,0-0,15,41,37
2025-26,41,"Kansas St",6-6,9.5,0-2,0-0,1-2,19,65,39
2025-26,42,"Arkansas",2-10,8.6,0-2,0-5,0-1,27,44,43
2025-26,43,"Arizona St",8-5,8.6,1-1,0-0,2-1,21,44,44
2025-26,44,"N Texas",12-2,8.3,0-0,0-0,0-1,40,99,41
2025-26,45,"NC State",8-5,7.9,0-2,0-0,3-1,45,64,49
2025-26,46,"Duke",9-5,7.5,0-0,0-1,2-2,39,71,48
2025-26,47,"Cincinnati",7-6,6.7,0-1,0-1,1-3,29,56,45
2025-26,48,"Houston",10-3,6.6,0-1,1-0,1-1,44,60,50
2025-26,49,"Kansas",5-7,6.3,0-2,0-1,0-2,28,50,47
2025-26,50,"Mississippi St",5-8,5.8,0-2,0-4,0-1,35,63,46
2025-26,51,"Northwestern",7-6,5.8,0-1,1-3,0-1,50,82,54
2025-26,52,"Baylor",5-7,5.6,0-1,1-0,0-3,29,52,51
2025-26,53,"Kentucky",5-7,5.5,0-2,0-3,2-2,41,56,52
2025-26,54,"Wisconsin",4-8,5.3,0-4,2-2,0-0,40,67,53
2025-26,55,"Toledo",8-5,5.2,0-0,0-0,0-1,49,80,55
2025-26,56,"E Carolina",9-4,4.9,0-0,0-1,1-0,53,92,59
2025-26,57,"Old Dominion",10-3,4.7,0-1,0-0,1-1,44,89,62
2025-26,58,"Rutgers",5-7,4.5,0-2,0-4,0-0,39,60,58
2025-26,59,"Minnesota",8-5,4.4,0-2,0-1,1-0,28,60,57
2025-26,60,"Boise St",9-5,4.3,0-1,0-1,0-1,35,66,56
2025-26,61,"Wake Forest",9-4,3.8,0-0,1-0,1-2,61,100,64
2025-26,62,"Tulane",11-3,3.6,0-2,0-0,0-0,46,67,63
2025-26,63,"Michigan St",4-8,3.5,0-1,0-4,0-1,39,68,61
2025-26,64,"Navy",11-2,2.2,0-1,0-0,1-0,49,75,66
2025-26,65,"Memphis",8-5,2.0,0-0,0-0,1-0,46,76,60
2025-26,66,"UCF",5-7,1.7,0-1,0-1,0-0,43,71,65
2025-26,67,"UTSA",7-6,1.7,0-0,0-1,0-1,66,83,69
2025-26,68,"Washington St",7-6,1.1,0-1,0-1,0-2,66,117,67
2025-26,69,"San Diego St",9-4,0.4,0-0,0-0,0-0,60,117,70
2025-26,70,"UCLA",3-9,0.0,0-3,1-2,0-1,40,93,71
2025-26,71,"Maryland",4-8,0.0,0-1,0-3,0-1,53,74,72
2025-26,72,"Virginia Tech",3-9,-1.0,0-1,0-1,0-5,47,79,73
2025-26,73,"UNLV",10-4,-1.4,0-0,0-0,0-0,68,86,68
2025-26,74,"West Virginia",4-8,-1.8,0-2,0-1,1-1,55,77,74
2025-26,75,"Colorado",3-9,-2.0,0-1,0-1,1-3,53,77,76
2025-26,76,"Army",7-6,-2.2,0-0,0-0,0-0,69,94,86
2025-26,77,"California",7-6,-2.3,0-0,1-0,1-1,50,81,77
2025-26,78,"Fresno St",9-4,-2.5,0-0,0-0,0-0,68,97,79
2025-26,79,"Boston College",2-10,-2.6,0-1,0-1,0-4,38,88,78
2025-26,80,"Texas St",7-6,-2.8,0-0,0-0,0-1,72,93,83
2025-26,81,"Purdue",2-10,-3.2,0-3,0-4,0-0,70,93,81
2025-26,82,"Stanford",4-8,-3.3,0-2,0-2,1-2,78,98,80
2025-26,83,"UConn",9-4,-3.7,0-0,0-0,0-0,67,83,75
2025-26,84,"Ohio",9-4,-3.7,0-1,0-0,0-0,67,86,85
2025-26,85,"New Mexico",9-4,-3.9,0-0,0-1,0-0,80,132,84
2025-26,86,"W Michigan",10-4,-3.9,0-0,0-1,0-0,82,121,91
2025-26,87,"Utah St",6-7,-4.3,0-0,0-2,0-0,78,119,82
2025-26,88,"Hawai'i",9-4,-4.7,0-0,0-0,0-1,81,111,87
2025-26,89,"North Carolina",4-8,-4.7,0-0,0-0,0-3,44,95,88
2025-26,90,"Syracuse",3-9,-6.0,0-2,0-2,1-2,43,90,90
2025-26,91,"W Kentucky",9-4,-6.4,0-0,0-1,0-0,78,107,93
2025-26,92,"Louisiana Tech",8-5,-6.7,0-0,0-1,0-0,69,111,92
2025-26,93,"Miami OH",7-7,-7.0,0-0,0-0,0-0,89,107,89
2025-26,94,"Air Force",4-8,-7.1,0-0,0-0,0-0,76,102,94
2025-26,95,"Troy",8-6,-8.4,0-0,0-0,0-2,83,102,96
2025-26,96,"Marshall",5-7,-8.4,0-1,0-0,0-1,86,116,97
2025-26,97,"Temple",5-7,-8.7,0-0,0-1,0-1,84,126,98
2025-26,98,"Kennesaw St",10-4,-9.4,0-1,0-0,0-0,93,133,95
2025-26,99,"Liberty",4-8,-10.1,0-0,0-0,0-1,71,105,100
2025-26,100,"Southern Miss",7-6,-10.4,0-0,0-0,0-0,86,117,99
2025-26,101,"Jacksonville St",9-5,-10.6,0-0,0-0,0-0,87,109,101
2025-26,102,"Oklahoma St",1-11,-11.0,0-2,0-0,0-2,60,118,104
2025-26,103,"Georgia So",7-6,-11.1,0-0,0-1,0-1,80,114,110
2025-26,104,"Oregon St",2-10,-11.3,0-2,0-0,0-0,69,106,106
2025-26,105,"C Michigan",7-6,-11.4,0-0,0-1,0-1,101,124,103
2025-26,106,"Wyoming",4-8,-11.5,0-1,0-0,0-0,93,109,107
2025-26,107,"S Alabama",4-8,-11.7,0-0,0-0,0-1,81,111,108
2025-26,108,"Louisiana",6-7,-11.7,0-0,0-1,0-1,76,112,105
2025-26,109,"Arkansas St",7-6,-11.8,0-0,0-0,0-1,99,122,109
2025-26,110,"Florida Intl",7-6,-12.3,0-0,0-1,0-0,99,127,102
2025-26,111,"Buffalo",5-7,-13.2,0-0,0-0,0-0,78,115,112
2025-26,112,"Missouri St",7-6,-13.3,0-0,0-2,0-0,109,132,111
2025-26,113,"Colorado St",2-10,-13.6,0-0,0-1,0-0,86,117,114
2025-26,114,"Florida Atlantic",4-8,-13.7,0-0,0-0,0-1,108,129,113
2025-26,115,"Delaware",7-6,-13.9,0-0,0-0,0-0,98,123,116
2025-26,116,"Tulsa",4-8,-14.5,0-0,0-0,0-0,116,130,119
2025-26,117,"San Jose St",3-9,-14.6,0-0,0-1,0-0,88,118,117
2025-26,118,"App State",5-8,-14.9,0-0,0-0,0-1,89,120,115
2025-26,119,"Bowling Green",4-8,-15.0,0-0,0-0,0-1,93,120,118
2025-26,120,"Nevada",3-9,-15.4,0-0,0-1,0-0,113,128,120
2025-26,121,"Coastal Car",6-7,-15.7,0-0,0-0,0-3,98,129,121
2025-26,122,"E Michigan",4-8,-16.4,0-0,0-0,0-0,121,131,123
2025-26,123,"UAB",4-8,-16.6,0-0,0-1,0-1,112,127,122
2025-26,124,"N Illinois",3-9,-17.0,0-0,0-0,0-0,113,127,124
2025-26,125,"New Mexico St",4-8,-18.1,0-0,0-1,0-0,123,130,126
2025-26,126,"Rice",5-8,-18.9,0-0,0-0,0-1,109,126,125
2025-26,127,"UTEP",2-10,-18.9,0-0,0-1,0-0,106,127,127
2025-26,128,"Middle Tenn",3-9,-19.7,0-0,0-0,0-0,123,133,128
2025-26,129,"Akron",5-7,-19.9,0-0,0-0,0-1,127,134,129
2025-26,130,"Georgia St",1-11,-20.2,0-1,0-1,0-1,108,131,130
2025-26,131,"UL Monroe",3-9,-21.1,0-1,0-0,0-0,101,132,131
2025-26,132,"Kent St",5-7,-21.3,0-1,0-1,0-1,130,136,132
2025-26,133,"Ball St",4-8,-22.2,0-0,0-0,0-1,128,135,133
2025-26,134,"Charlotte",1-11,-23.3,0-1,0-0,0-1,128,135,134
2025-26,135,"Sam Houston",2-10,-25.8,0-0,0-1,0-0,110,135,135
2025-26,136,"UMass",0-12,-34.1,0-0,0-2,0-0,134,136,136
